Site,Patch_Num.,Treatment,Germ_Tot,SeedsPerSpike,#spikelets,AvgSeeds,GermRate
AGE,1,high,440,4.825,300,1447.5,0.303972366
AGE,2,high,58,3.775,300,1132.5,0.051214128
AGE,3,high,4,4.475,300,1342.5,0.002979516
AGE,4,high,0,4.825,300,1447.5,0
AGE,5,high,0,4.775,300,1432.5,0
ELJ,1,high,186,5.075,300,1522.5,0.122167488
ELJ,2,high,134,5.025,300,1507.5,0.088888889
ELJ,3,high,110,5.225,300,1567.5,0.070175439
ELJ,4,high,184,6.225,300,1867.5,0.098527443
ELJ,5,high,384,7.275,300,2182.5,0.175945017
FL,1,high,46,3.925,300,1177.5,0.039065817
FL,2,high,128,4.475,300,1342.5,0.095344507
FL,3,high,0,4.575,300,1372.5,0
FL,4,high,48,4.775,300,1432.5,0.033507853
FL,5,high,134,5.375,300,1612.5,0.083100775
GFV,1,high,2,4.425,300,1327.5,0.001506591
GFV,6,high,2,4.525,300,1357.5,0.001473297
GFV,3,high,15,6.075,300,1822.5,0.008230453
GFV,4,high,1,5.425,300,1627.5,0.000614439
GFV,5,high,0,6.025,300,1807.5,0
GK,1,high,109,4.425,300,1327.5,0.082109228
GK,2,high,4,4.825,300,1447.5,0.002763385
GK,3,high,1,5.475,300,1642.5,0.000608828
GK,4,high,0,5.925,300,1777.5,0
GK,5,high,0,5.875,300,1762.5,0
IC,1,high,128,5.075,300,1522.5,0.08407225
IC,2,high,150,4.725,300,1417.5,0.105820106
IC,3,high,307,4.475,300,1342.5,0.22867784
IC,4,high,374,5.9375,240,1425,0.26245614
MLJ,1,high,93,4.825,300,1447.5,0.064248705
MLJ,2,high,279,6.025,300,1807.5,0.154356846
MLJ,3,high,313,5.325,300,1597.5,0.195931142
MLJ,4,high,71,6.225,300,1867.5,0.038018742
MLJ,5,high,203,5.575,300,1672.5,0.121375187
MZ,1,high,5,4.825,300,1447.5,0.003454231
MZ,2,high,2,4.775,300,1432.5,0.001396161
MZ,3,high,13,4.425,300,1327.5,0.009792844
MZ,4,high,282,6.975,300,2092.5,0.134767025
MZ,5,high,369,7.125,300,2137.5,0.172631579
MZW,1,high,84,4.175,300,1252.5,0.067065868
MZW,2,high,6,3.925,300,1177.5,0.005095541
MZW,3,high,125,4.575,300,1372.5,0.091074681
MZW,4,high,48,5.875,300,1762.5,0.027234043
MZW,5,high,24,6.175,300,1852.5,0.012955466
NLJ,1,high,323,4.725,300,1417.5,0.227865961
NLJ,2,high,147,4.725,300,1417.5,0.103703704
NLJ,3,high,183,4.075,300,1222.5,0.149693252
NLJ,4,high,657,6.275,300,1882.5,0.349003984
NLJ,5,high,45,5.575,300,1672.5,0.02690583
TP,1,low,48,5.275,300,1582.5,0.030331754
TP,2,low,91,5.325,300,1597.5,0.056964006
TP,3,low,48,5.375,300,1612.5,0.029767442
TP,4,low,15,5.925,300,1777.5,0.008438819
TP,5,low,133,6.225,300,1867.5,0.071218206
CRU,1,low,52,3.975,300,1192.5,0.04360587
CRU,2,low,32,4.425,300,1327.5,0.024105461
CRU,3,low,44,5.025,300,1507.5,0.029187396
CRU,4,low,60,4.375,300,1312.5,0.045714286
CRU,5,low,179,4.825,300,1447.5,0.123661485
DK,1,low,0,5.075,300,1522.5,0
DK,2,low,0,5.675,300,1702.5,0
DK,3,low,1,5.675,300,1702.5,0.000587372
DK,4,low,0,5.825,300,1747.5,0
DK,5,low,3,6.325,300,1897.5,0.001581028
GD,1,low,138,5.125,300,1537.5,0.089756098
GD,2,low,80,4.725,300,1417.5,0.05643739
GD,3,low,94,5.525,300,1657.5,0.056711916
GD,4,low,9,5.625,300,1687.5,0.005333333
GD,5,low,36,6.225,300,1867.5,0.019277108
GH,1,low,228,4.925,300,1477.5,0.154314721
GH,2,low,16,5.525,300,1657.5,0.009653092
GH,3,low,79,5.525,300,1657.5,0.047662142
GH,4,low,133,5.725,300,1717.5,0.077438137
GH,5,low,382,5.675,300,1702.5,0.224375918
GIE,1,low,189,5.225,300,1567.5,0.120574163
GIE,2,low,33,4.325,300,1297.5,0.025433526
GIE,3,low,260,4.825,300,1447.5,0.179620035
GIE,4,low,105,5.675,300,1702.5,0.061674009
GIE,5,low,78,4.675,300,1402.5,0.055614973
GIW,1,low,341,4.775,300,1432.5,0.238045375
GIW,2,low,3,5.125,300,1537.5,0.00195122
GIW,3,low,42,5.025,300,1507.5,0.027860697
GIW,4,low,261,5.325,300,1597.5,0.163380282
GIW,5,low,4,5.025,300,1507.5,0.0026534
ISU,1,low,47,4.325,300,1297.5,0.036223507
ISU,2,low,25,4.875,300,1462.5,0.017094017
ISU,3,low,7,4.025,300,1207.5,0.005797101
ISU,4,low,0,4.225,300,1267.5,0
ISU,5,low,246,5.825,300,1747.5,0.140772532
JI,1,low,827,5.075,300,1522.5,0.54318555
JI,2,low,1,5.225,300,1567.5,0.000637959
JI,3,low,541,5.725,300,1717.5,0.314992722
JI,4,low,405,5.875,300,1762.5,0.229787234
JI,5,low,96,5.875,300,1762.5,0.054468085
SP,1,low,128,5.025,300,1507.5,0.084908789
SP,2,low,135,5.025,300,1507.5,0.089552239
SP,3,low,1,5.175,300,1552.5,0.000644122
SP,4,low,0,5.325,300,1597.5,0
SP,5,low,0,5.825,300,1747.5,0
WFU,1,low,123,3.925,300,1177.5,0.104458599
WFU,2,low,163,4.875,300,1462.5,0.111452991
WFU,3,low,99,4.425,300,1327.5,0.074576271
WFU,4,low,56,4.825,300,1447.5,0.038687392
WFU,5,low,2,5.875,300,1762.5,0.001134752